"Part_ID","Task","Stimuli","cor","exp"
53,"Free","Dots",1,"Italian Adults"
1001,"Free","Dots",0.288888888888889,"Himba Adults 2021"
1002,"Free","Dots",-1,"Himba Adults 2021"
1004,"Free","Dots",-1,"Himba Adults 2021"
1006,"Free","Dots",0.2,"Himba Adults 2021"
1007,"Free","Dots",-1,"Himba Adults 2021"
1008,"Free","Dots",0.224733287487747,"Himba Adults 2021"
1009,"Free","Dots",-1,"Himba Adults 2021"
1022,"Free","Dots",-1,"Himba Adults 2021"
1023,"Free","Dots",-0.2,"Himba Adults 2021"
1024,"Free","Dots",-0.777777777777778,"Himba Adults 2021"
1025,"Free","Dots",-0.0666666666666667,"Himba Adults 2021"
1028,"Free","Dots",1,"Himba Adults 2021"
1030,"Free","Dots",-1,"Himba Adults 2021"
1041,"Free","Dots",1,"Himba Adults 2021"
1042,"Free","Dots",0.866666666666667,"Himba Adults 2021"
1043,"Free","Dots",1,"Himba Adults 2021"
1044,"Free","Dots",-0.0222222222222222,"Himba Adults 2021"
1045,"Free","Dots",-1,"Himba Adults 2021"
1046,"Free","Dots",-0.0222222222222222,"Himba Adults 2021"
1047,"Free","Dots",1,"Himba Adults 2021"
1050,"Free","Dots",1,"Himba Adults 2021"
1061,"Free","Dots",0.422222222222222,"Himba Adults 2021"
1062,"Free","Dots",-0.0666666666666667,"Himba Adults 2021"
1064,"Free","Dots",1,"Himba Adults 2021"
1065,"Free","Dots",1,"Himba Adults 2021"
1068,"Free","Dots",0.0666666666666667,"Himba Adults 2021"
1070,"Free","Dots",1,"Himba Adults 2021"
1081,"Free","Dots",0.422222222222222,"Himba Adults 2021"
1082,"Free","Dots",1,"Himba Adults 2021"
1083,"Free","Dots",1,"Himba Adults 2021"
1085,"Free","Dots",-0.555555555555556,"Himba Adults 2021"
1086,"Free","Dots",-0.955555555555556,"Himba Adults 2021"
1087,"Free","Dots",-0.155555555555556,"Himba Adults 2021"
1090,"Free","Dots",1,"Himba Adults 2021"
1101,"Free","Dots",-1,"Himba Adults 2021"
1103,"Free","Dots",-1,"Himba Adults 2021"
1106,"Free","Dots",-0.928571428571429,"Himba Adults 2021"
1107,"Free","Dots",-1,"Himba Adults 2021"
1110,"Free","Dots",-0.155555555555556,"Himba Adults 2021"
1125,"Free","Dots",1,"Himba Adults 2021"
1126,"Free","Dots",1,"Himba Adults 2021"
1127,"Free","Dots",1,"Himba Adults 2021"
1128,"Free","Dots",1,"Himba Adults 2021"
1129,"Free","Dots",-0.733333333333333,"Himba Adults 2021"
1130,"Free","Dots",-1,"Himba Adults 2021"
1142,"Free","Dots",-0.155555555555556,"Himba Adults 2021"
1144,"Free","Dots",1,"Himba Adults 2021"
1146,"Free","Dots",-0.333333333333333,"Himba Adults 2021"
1147,"Free","Dots",-0.155555555555556,"Himba Adults 2021"
1149,"Free","Dots",0.0666666666666667,"Himba Adults 2021"
1161,"Free","Dots",0.866666666666667,"Himba Adults 2021"
1162,"Free","Dots",0.155555555555556,"Himba Adults 2021"
1163,"Free","Dots",1,"Himba Adults 2021"
1164,"Free","Dots",1,"Himba Adults 2021"
1165,"Free","Dots",0.0222222222222222,"Himba Adults 2021"
1166,"Free","Dots",1,"Himba Adults 2021"
1167,"Free","Dots",-0.333333333333333,"Himba Adults 2021"
1168,"Free","Dots",0.0222222222222222,"Himba Adults 2021"
1170,"Free","Dots",0.111111111111111,"Himba Adults 2021"
1181,"Free","Dots",0.0666666666666667,"Himba Adults 2021"
103,"Free","Dots",1,"Italian Preschoolers"
104,"Free","Dots",-0.644444444444444,"Italian Preschoolers"
105,"Free","Dots",0.155555555555556,"Italian Preschoolers"
107,"Free","Dots",0.911111111111111,"Italian Preschoolers"
110,"Free","Dots",-1,"Italian Preschoolers"
111,"Free","Dots",0.0222222222222222,"Italian Preschoolers"
115,"Free","Dots",-0.155555555555556,"Italian Preschoolers"
